0.138498 0.147209 0.163552    
nan 0.147272 nan    
0.248248 0.138888 nan    
nan 0.125023 0.298410    
0.129445 0.142906 nan    
0.299347 nan nan    
nan nan 0.875783    
nan 0.152106 0.132946    
0.148418 0.133267 nan    
nan nan 0.152345    
nan 0.125570 nan    
0.185981 0.130096 0.191916    
nan 0.155025 nan    
nan 0.151331 nan    
nan 0.136715 0.134493    
nan 0.158330 nan    
0.209102 0.146535 nan    
0.141144 0.131736 0.324150    
0.153325 0.121418 0.129170    
0.156515 nan 0.185692    
nan 0.147415 0.145102    
0.182082 0.133209 0.205003    
0.123477 0.138655 nan    
0.131962 nan 0.278897    
nan 0.134136 nan    
0.175278 0.233922 0.712220    
0.142842 nan nan    
0.123438 nan 0.143936    
0.137137 0.130735 nan    
0.134543 nan 0.152540    
nan nan 0.251793    
0.161504 0.163490 0.234159    
0.151596 nan 0.163874    
nan nan 0.154830    
nan 0.120761 nan    
nan 0.168889 nan    
0.147405 nan 0.118751    
0.119473 nan 0.138589    
nan nan 0.117561    
nan nan 0.226054    
0.171119 nan 0.126610    
0.133715 0.148110 0.148479    
0.172726 nan 0.163111    
0.138392 0.182678 0.130166    
0.126463 0.193009 0.293700    
nan 0.133401 0.133196    
0.837190 0.129261 0.162044    
0.131425 nan 0.136976    
nan 0.171081 nan    
0.153691 0.138651 nan    
0.129387 0.138098 0.144238    
0.128451 nan nan    
0.141826 nan 0.246487    
nan nan 0.153650    
nan nan 0.148699    
0.129784 0.152134 0.129656    
nan 0.215135 nan    
0.124727 0.183715 0.118305    
0.133079 0.142799 0.129413    
0.120589 nan 0.169561    
0.152333 nan 0.138822    
0.127724 nan 0.149665    
0.165101 0.245014 nan    
0.135469 nan nan    
nan 0.152000 0.125057    
nan 0.328275 0.179485    
nan 0.153769 0.151474    
nan 0.187554 0.140596    
0.126051 0.241688 0.151465    
0.137374 0.167458 nan    
nan 0.157402 0.225037    
nan 0.144211 0.164532    
0.154185 0.396972 nan    
0.131911 nan 0.161501    
nan 0.203589 0.198443    
0.129341 nan nan    
0.166723 0.136859 nan    
0.124882 0.236544 nan    
nan nan 0.126274    
0.314743 nan 0.164084    
0.147828 0.129936 0.173957    
1.619599 nan 0.138790    
0.172899 0.188237 0.140448    
nan 0.502885 0.150663    
0.177547 0.144141 nan    
0.135492 nan nan    
0.140847 0.132136 0.133965    
0.138437 nan 0.148050    
nan 0.179208 0.168202    
0.141469 0.204643 0.136732    
nan nan 0.204089    
0.187590 nan 0.156664    
nan 0.217698 0.131110    
nan 0.140297 0.136462    
nan 0.149225 0.140472    
0.139772 nan nan    
0.139633 0.184364 0.161754    
nan 0.149095 nan    
0.136593 0.223429 nan    
0.121881 nan 0.154052    
0.142796 0.116060 0.124759    
0.126613 0.156226 nan    
nan 0.195222 nan    
nan 0.193774 nan    
nan 0.160882 0.127271    
0.169108 nan nan    
0.143054 nan nan    
nan 0.144568 0.150229    
nan nan 0.134541    
nan 0.176483 0.138731    
nan 0.148524 nan    
0.152742 nan nan    
nan 0.167696 nan    
0.201843 0.154677 nan    
0.172941 0.154721 nan    
0.142054 0.264873 0.191082    
nan 0.151835 nan    
nan 0.125137 0.129805    
0.203838 0.150496 0.149303    
nan 0.246544 nan    
0.139653 0.312248 0.129738    
0.140536 0.456603 4.605242    
0.132499 0.248362 0.145087    
nan 0.503873 0.192013    
0.153907 nan nan    
0.156090 0.150977 0.226689    
nan 0.131945 0.138825    
nan 0.143688 0.182971    
0.156589 nan nan    
nan 2.884501 0.197265    
0.149735 nan 0.146839    
0.151421 0.202477 0.153053    
0.173904 nan 0.126913    
0.146180 nan nan    
0.469013 0.125706 nan    
nan nan 0.129120    
0.259863 0.129275 0.163297    
0.161734 0.194316 0.142411    
nan nan 0.139379    
0.157763 0.121293 0.143223    
0.175678 nan nan    
0.191420 0.120752 0.135769    
nan 0.285362 0.145915    
0.155221 0.139232 0.138997    
0.159597 0.129066 0.151793    
nan 0.249079 0.139577    
0.185499 0.556516 0.136804    
0.136729 0.199911 0.175597    
nan 0.131402 nan    
nan 0.126721 0.186784    
